track_id,psnr_sr,psnr_base,ssim_sr,ssim_base
track_10616,17.2187,15.1210,0.5773,0.4373
track_10622,17.5449,15.4805,0.4739,0.3255
track_10626,19.4978,16.9132,0.6413,0.4770
track_10656,16.7489,15.3038,0.4498,0.3468
track_10666,20.0734,19.1891,0.4823,0.4152
track_10676,19.5245,16.6011,0.6555,0.4570
track_10677,20.3780,18.3199,0.4353,0.3439
track_10686,24.5342,20.4022,0.5083,0.4123
track_10687,21.1443,18.3641,0.5638,0.4278
track_10706,26.0635,23.1363,0.6188,0.5690
track_10709,18.9047,17.2911,0.5810,0.4961
track_10722,19.8701,17.9557,0.5675,0.4670
track_10740,20.4731,19.1951,0.6094,0.5141
track_10742,24.8356,21.3721,0.5660,0.4823
track_10756,21.0418,18.9246,0.6207,0.4990
track_10797,21.4775,19.2548,0.5243,0.4444
track_10824,19.6965,17.7444,0.4715,0.3709
track_10836,18.7778,15.6824,0.6143,0.4337
track_10862,19.7074,17.4132,0.6308,0.4857
track_10868,21.0034,18.4160,0.4386,0.3707
track_10874,19.8477,17.2612,0.6221,0.4831
track_10879,16.7077,14.2811,0.5492,0.3522
track_10882,26.7713,23.6938,0.6254,0.5717
track_10884,18.7754,17.4861,0.5704,0.4797
track_10887,24.0846,19.2680,0.7772,0.5770
track_10889,17.8514,15.6970,0.3064,0.2235
track_10899,19.4186,17.8605,0.5338,0.4328
track_10919,18.0946,15.9334,0.5329,0.3638
track_10926,26.4988,24.1632,0.7054,0.6776
track_10943,21.0137,18.9566,0.6137,0.5075
track_10955,17.1383,15.2724,0.5834,0.4296
track_10986,20.0315,17.1747,0.6389,0.5005
track_10988,16.5580,14.7877,0.4785,0.3562
track_10994,20.9040,18.1964,0.6604,0.5336
track_10997,23.0442,21.5205,0.6823,0.6030
track_11036,22.5131,18.7526,0.5431,0.4037
track_11042,19.3542,16.5337,0.6730,0.5138
track_11048,19.5552,17.0649,0.6135,0.4355
track_11051,22.9197,20.5932,0.5892,0.4481
track_11056,20.5233,18.9341,0.5648,0.4827
track_11060,22.7941,19.5764,0.7118,0.5492
track_11080,17.5690,15.6115,0.2849,0.2041
track_11094,17.5406,15.6194,0.5597,0.4318
track_11107,20.1347,17.1383,0.6528,0.4745
track_11115,22.0551,20.2427,0.4857,0.3611
track_11128,16.9469,15.5837,0.4919,0.3748
track_11136,18.0998,16.4487,0.5527,0.4027
track_11162,17.8105,15.4592,0.5767,0.3845
track_11165,17.0713,15.1173,0.4925,0.3548
track_11188,23.0556,20.1351,0.6800,0.5637
track_11190,22.4708,20.6059,0.6024,0.5101
track_11191,19.5427,17.3519,0.4611,0.3554
track_11194,20.6975,18.2380,0.6221,0.5127
track_11195,20.1387,17.2637,0.4230,0.2877
track_11212,17.5738,16.0609,0.4914,0.3563
track_11242,18.4734,16.7923,0.5421,0.4153
track_11248,25.8236,22.2640,0.6864,0.5430
track_11258,17.7745,16.1053,0.3714,0.2926
track_11263,24.0268,21.1679,0.4966,0.4295
track_11279,20.0876,17.8542,0.6068,0.4724
track_11285,18.3671,16.7068,0.5748,0.4124
track_11301,16.2009,14.6368,0.4899,0.3812
track_11305,19.6980,18.2829,0.6240,0.5232
track_11328,20.9242,18.2676,0.5734,0.4348
track_11335,17.4069,15.9917,0.4764,0.3938
track_11336,21.5904,18.5357,0.5941,0.4395
track_11349,21.4776,19.4752,0.5743,0.4297
track_11378,21.4359,18.3952,0.6178,0.4870
track_11390,17.9519,16.0435,0.5139,0.3395
track_11391,18.7866,16.6325,0.4830,0.3501
track_11447,15.4886,13.9018,0.5152,0.3531
track_11481,17.9748,16.3841,0.4937,0.3734
track_11488,22.2997,19.2610,0.6853,0.5134
track_11507,16.2964,15.1945,0.4114,0.3417
track_11513,21.0764,18.8639,0.5593,0.4679
track_11530,18.2485,16.6352,0.5062,0.3863
track_11533,20.6824,17.7958,0.6324,0.4976
track_11539,20.5726,18.2216,0.5843,0.4840
track_11541,21.0351,18.4248,0.4483,0.3402
track_11609,19.1301,17.7637,0.4992,0.3346
track_11613,17.2052,14.8234,0.5196,0.3414
track_11624,22.1999,19.1950,0.6830,0.5628
track_11625,23.4580,20.0256,0.4985,0.4166
track_11669,17.8889,16.5633,0.4892,0.3266
track_11672,23.2538,18.8508,0.8226,0.6536
track_11677,15.3711,13.9631,0.3001,0.2139
track_11685,17.8416,16.1284,0.4471,0.2729
track_11702,17.8945,15.9366,0.5541,0.4533
track_11735,20.0222,18.1184,0.5403,0.4322
track_11748,21.7104,18.2457,0.5065,0.3351
track_11757,21.1368,18.7412,0.5681,0.4607
track_11765,20.1197,18.7528,0.4374,0.3002
track_11805,21.5384,17.2180,0.7194,0.4914
track_11813,19.5896,17.6279,0.5292,0.4294
track_11820,16.5434,14.9110,0.4059,0.2589
track_11835,20.9257,19.2182,0.5987,0.4802
track_11851,21.2442,18.3061,0.5558,0.4183
track_11853,22.4580,19.3746,0.6451,0.5098
track_11875,25.1107,20.6856,0.5814,0.4976
track_11887,21.9442,19.8696,0.7168,0.5879
track_11890,23.1285,19.3396,0.8080,0.6884
track_11906,17.9440,16.0861,0.3973,0.2928
track_11917,19.3027,16.5439,0.6335,0.4904
track_11937,19.6005,16.8947,0.5521,0.4427
track_11948,18.1653,16.8319,0.5158,0.4307
track_11953,22.8071,19.3741,0.6588,0.5231
track_11961,20.6093,17.6336,0.5822,0.4140
track_11965,22.0447,20.1826,0.4980,0.4176
track_11984,20.8120,17.8962,0.5629,0.3677
track_11988,21.9478,19.1489,0.5387,0.4328
track_12003,14.9791,13.4453,0.3732,0.2144
track_12005,22.9265,21.8584,0.6715,0.6419
track_12006,18.8840,15.8053,0.6242,0.4512
track_12010,21.7102,19.1215,0.6165,0.5118
track_12038,19.8882,17.5690,0.5915,0.4652
track_12051,18.4044,16.0097,0.6738,0.5243
track_12061,22.7022,19.6023,0.7425,0.6362
track_12063,19.1786,15.6508,0.3536,0.2188
track_12070,18.9936,16.1488,0.6198,0.4447
track_12079,17.9428,15.6072,0.5990,0.4918
track_12101,17.7748,15.7560,0.5422,0.3651
track_12117,16.6343,14.5871,0.5366,0.4118
track_12122,19.8494,16.7364,0.6486,0.4926
track_12133,21.8280,19.6500,0.5549,0.3816
track_12135,18.5058,16.1782,0.5708,0.4054
track_12137,23.9724,20.7536,0.5411,0.4734
track_12140,15.4521,13.8972,0.4450,0.2836
track_12146,18.5547,16.8307,0.5891,0.4562
track_12162,17.7214,15.4978,0.4751,0.3449
track_12168,21.6643,19.1605,0.5956,0.4623
track_12183,17.5978,15.7758,0.4921,0.3550
track_12194,17.3756,15.6675,0.5129,0.2968
track_12211,24.9587,20.8161,0.8076,0.6771
track_12215,15.8351,14.7675,0.3923,0.3039
track_12225,23.2960,19.5758,0.6990,0.5694
track_12233,18.9330,16.6339,0.5342,0.4217
track_12234,16.6416,14.9419,0.4915,0.3712
track_12240,19.0211,16.2038,0.5466,0.3573
track_12243,15.4469,13.9021,0.4323,0.2387
track_12247,20.5064,18.8961,0.6188,0.5368
track_12273,18.1445,15.9994,0.6349,0.4987
track_12293,20.2218,17.7276,0.6573,0.5289
track_12304,19.2174,16.8041,0.5238,0.3778
track_12336,17.9117,15.4264,0.5693,0.3937
track_12402,17.1533,16.1850,0.5390,0.4397
track_12426,18.2348,16.1374,0.5212,0.3981
track_12451,20.3605,18.2840,0.6052,0.4626
track_12470,21.0774,18.6405,0.5084,0.4019
track_12478,24.0902,22.4207,0.7107,0.6640
track_12485,17.7694,16.1681,0.5646,0.4735
track_12486,24.5373,20.7506,0.5468,0.4956
track_12513,20.5003,18.5766,0.5058,0.4342
track_12537,21.6446,18.0781,0.5623,0.4330
track_12556,19.1606,17.3771,0.5500,0.4339
track_12569,18.1833,16.6760,0.3889,0.3340
track_12593,15.9281,14.6145,0.4074,0.2498
track_12607,18.1996,15.7430,0.5839,0.3214
track_12617,16.9819,14.9029,0.5344,0.3446
track_12635,18.5784,15.2635,0.5982,0.3080
track_12672,18.4853,16.1967,0.6027,0.3428
track_12677,16.3829,15.1381,0.5071,0.3783
track_12686,16.1792,14.6151,0.4421,0.2999
track_12694,18.3459,14.9318,0.6728,0.3844
track_12697,15.8953,14.0271,0.4471,0.2150
track_12702,15.2956,13.7293,0.5248,0.3010
track_12705,15.5852,14.3610,0.4324,0.3146
track_12718,18.7144,16.2583,0.6122,0.4863
track_12733,16.1333,14.7408,0.4435,0.2481
track_12770,16.0589,13.6741,0.4520,0.1979
track_12806,17.1457,15.0804,0.5478,0.3071
track_12814,15.5980,13.5558,0.4924,0.2135
track_12826,19.2017,17.4158,0.5335,0.4280
track_12849,16.6464,14.4244,0.5467,0.2958
track_12886,21.1847,18.2956,0.6711,0.5190
track_12890,16.8820,14.1155,0.5332,0.3072
track_12925,15.6876,13.8035,0.4948,0.2561
track_12931,16.4890,15.3351,0.4027,0.2716
track_12954,17.2250,15.5501,0.4754,0.3506
track_12961,19.5515,16.6031,0.6969,0.4020
track_12962,16.0596,13.9364,0.4635,0.2333
track_12991,19.0010,16.4674,0.6323,0.3617
track_12994,17.4677,15.3760,0.5389,0.3776
track_13000,14.7079,14.1855,0.4159,0.3316
track_13002,16.3510,15.0759,0.4957,0.3702
track_13006,16.9560,14.0179,0.4942,0.2221
track_13023,21.3811,18.5987,0.6418,0.4813
track_13033,15.8898,13.6945,0.5282,0.2862
track_13053,16.8421,15.4110,0.5277,0.4126
track_13068,20.8058,18.5422,0.6627,0.5298
track_13100,18.2533,15.4111,0.6493,0.4785
track_13121,15.1410,12.9649,0.4553,0.2335
track_13122,21.0754,18.4027,0.6456,0.4927
track_13125,15.9267,14.7966,0.5049,0.3640
track_13129,15.3074,13.6618,0.4393,0.2903
track_13130,18.6026,15.2111,0.6681,0.4028
track_13131,15.1973,13.4747,0.3758,0.1647
track_13139,22.9740,20.2096,0.7278,0.5836
track_13168,15.9562,14.0997,0.5195,0.3624
track_13174,16.4881,15.0088,0.5297,0.4138
track_13191,19.7990,18.1926,0.6309,0.5232
track_13218,16.1019,13.4515,0.5091,0.2608
track_13231,16.2387,14.3378,0.5121,0.2530
track_13244,20.4634,18.9658,0.5803,0.4803
track_13259,16.0314,14.0482,0.4673,0.2470
track_13262,16.1020,14.4296,0.4632,0.3447
track_13295,15.3514,13.4388,0.4834,0.2418
track_13296,16.6274,13.8584,0.5390,0.2564
track_13329,15.8230,13.8011,0.4685,0.2673
track_13332,16.7122,14.8158,0.5308,0.3685
track_13334,18.0595,15.7192,0.5704,0.3988
track_13354,16.4203,14.8387,0.4861,0.3386
track_13384,16.5548,14.5914,0.5725,0.4292
track_13412,17.3419,16.0086,0.4420,0.3503
track_13419,14.8857,14.1458,0.4267,0.3041
track_13422,15.4907,13.5062,0.5424,0.3358
track_13473,18.8019,16.4900,0.6192,0.4368
track_13510,17.2873,15.0447,0.5416,0.3972
track_13512,17.4987,14.9746,0.6214,0.4171
track_13520,17.2581,15.0915,0.5931,0.3834
track_13526,16.6519,14.4104,0.4683,0.2695
track_13527,15.9337,14.0882,0.4396,0.3322
track_13536,19.1419,16.4672,0.5426,0.2616
track_13574,18.8535,16.0423,0.5847,0.3641
track_13584,17.1690,14.2686,0.5766,0.2828
track_13586,21.5403,18.9357,0.5799,0.4528
track_13588,19.0619,16.7072,0.5752,0.4212
track_13589,16.2431,14.4214,0.5133,0.3312
track_13592,18.4840,15.4129,0.6644,0.4473
track_13594,16.1967,14.4703,0.4411,0.3311
track_13595,17.0733,16.2404,0.4825,0.3879
track_13596,19.3688,16.7603,0.6561,0.4710
track_13600,20.2505,19.3077,0.6222,0.5250
track_13603,17.2746,14.8324,0.5933,0.4206
track_13618,18.6663,16.0019,0.6443,0.4281
track_13643,16.3329,14.5968,0.5116,0.3212
track_13645,16.0424,14.4100,0.4054,0.2404
track_13652,19.4575,16.6813,0.4983,0.3753
track_13661,16.1302,14.0738,0.4927,0.2484
track_13664,20.5634,17.3120,0.6307,0.4513
track_13670,17.0938,14.8806,0.5055,0.2737
track_13714,22.4047,19.9214,0.5826,0.4751
track_13725,20.5937,17.6030,0.6818,0.5194
track_13749,16.4918,14.5320,0.4756,0.3026
track_13769,20.9587,18.3118,0.6751,0.5075
track_13791,16.2516,14.6969,0.4194,0.3220
track_13796,14.3390,13.5632,0.4247,0.2983
track_13838,20.1905,17.0865,0.7027,0.5287
track_13843,16.4543,14.7295,0.5459,0.3613
track_13850,21.7917,20.5646,0.5679,0.5114
track_13887,17.9205,15.9932,0.5693,0.3771
track_13895,17.4198,15.4505,0.5408,0.3553
track_13901,16.5105,14.7087,0.4750,0.3031
track_13915,17.6775,15.0404,0.4711,0.3330
track_13936,16.7054,14.4635,0.4897,0.2759
track_13937,17.5582,15.0038,0.5677,0.3769
track_13942,20.8798,17.6190,0.6001,0.3881
track_13944,16.1006,14.4961,0.4908,0.3496
track_13961,20.8747,17.9223,0.6675,0.5284
track_13962,20.2087,17.3966,0.5564,0.3834
track_13977,19.8295,17.0005,0.6544,0.4618
track_13989,16.1933,14.8444,0.4214,0.3165
track_13993,16.2393,15.2562,0.5459,0.3978
track_14002,18.0738,15.8009,0.5853,0.3576
track_14010,16.7843,15.1561,0.5408,0.3650
track_14013,16.6222,14.9159,0.4666,0.3242
track_14026,19.3194,16.5338,0.6404,0.4862
track_14043,15.6044,13.6254,0.4922,0.3360
track_14045,19.2218,16.1270,0.6536,0.3859
track_14058,16.7293,14.2758,0.5038,0.2805
track_14063,14.4351,13.6740,0.3941,0.2961
track_14065,18.1755,15.6922,0.5198,0.3548
track_14090,17.3644,15.1799,0.3741,0.2015
track_14103,14.8372,13.2888,0.5187,0.3561
track_14104,18.3779,16.0125,0.4893,0.3022
track_14138,18.3310,15.1600,0.5897,0.4020
track_14141,20.6318,16.5760,0.7370,0.5016
track_14147,17.0852,14.7687,0.5065,0.3220
track_14166,14.1110,13.4854,0.3252,0.2376
track_14181,22.6844,18.5013,0.8151,0.5950
track_14183,17.3334,14.5390,0.5220,0.2968
track_14194,16.1432,14.7842,0.3830,0.2457
track_14195,17.3635,14.6466,0.5795,0.3846
track_14203,15.1295,13.7028,0.4346,0.2790
track_14204,17.4786,14.7837,0.6096,0.3512
track_14227,16.4205,14.3074,0.4552,0.2024
track_14235,15.8438,15.0230,0.4485,0.3771
track_14259,17.1498,15.3464,0.4529,0.2854
track_14295,15.2587,13.6434,0.3669,0.1859
track_14304,16.8755,14.6157,0.5541,0.3593
track_14306,17.4063,15.7854,0.4979,0.3807
track_14313,18.3476,16.0484,0.5395,0.3581
track_14330,20.3458,16.8942,0.7326,0.5324
track_14336,16.3183,14.0097,0.4958,0.2972
track_14342,14.4901,13.8356,0.3433,0.2586
track_14343,21.1234,17.4661,0.7254,0.4880
track_14355,16.4864,14.1361,0.5154,0.3419
track_14367,13.9450,12.8276,0.3539,0.1934
track_14371,16.3037,13.9468,0.4979,0.2800
track_14372,16.8484,14.6769,0.4917,0.3154
track_14380,19.3862,16.5917,0.6360,0.3893
track_14393,17.5571,14.8246,0.5639,0.3088
track_14396,15.1438,14.1892,0.3927,0.2943
track_14411,20.7233,17.7941,0.5211,0.3616
track_14421,15.0243,13.4741,0.3798,0.2301
track_14442,19.2248,17.5421,0.5405,0.4364
track_14444,20.9332,19.2747,0.5970,0.5093
track_14446,17.4125,15.0104,0.5699,0.4068
track_14466,18.8818,15.9397,0.6811,0.4783
track_14470,22.1006,19.5245,0.5385,0.4389
track_14488,17.1844,15.4255,0.3906,0.2571
track_14505,23.7504,20.2147,0.7647,0.6084
track_14506,20.9091,16.8534,0.5955,0.3736
track_14516,18.7532,16.9845,0.4708,0.3372
track_14517,20.1666,17.0338,0.5573,0.3173
track_14534,16.4136,14.6635,0.4903,0.3504
track_14539,19.8025,17.4387,0.6165,0.4035
track_14550,16.0438,14.1098,0.4788,0.2971
track_14559,14.5063,13.6932,0.4173,0.3071
track_14574,17.8269,15.4279,0.5386,0.3596
track_14582,15.2610,13.5940,0.3738,0.1807
track_14583,16.6341,14.7438,0.5338,0.3771
track_14604,16.2272,14.6865,0.4535,0.3382
track_14605,19.2675,16.3300,0.6261,0.3952
track_14614,23.8923,20.5786,0.7249,0.6296
track_14648,15.9358,13.7046,0.4937,0.2767
track_14656,13.9834,13.0477,0.3477,0.2241
track_14661,21.4748,17.0039,0.7947,0.5522
track_14668,17.5478,15.0079,0.5401,0.3089
track_14696,15.2956,14.1910,0.3248,0.1813
track_14728,15.9843,13.5325,0.5260,0.2899
track_14747,16.6514,14.7542,0.4311,0.2682
track_14779,18.7738,16.3392,0.5331,0.3553
track_14839,16.0891,14.4618,0.3939,0.1883
track_14848,16.9369,14.4265,0.5689,0.3415
track_14868,18.3604,15.9640,0.5904,0.4111
