track_id,psnr_sr,psnr_base,ssim_sr,ssim_base
track_20851,20.2088,18.7904,0.5355,0.4462
track_20879,15.0038,14.2171,0.4205,0.3448
track_20908,19.1023,17.6169,0.5166,0.4229
track_20953,17.8971,16.8417,0.4773,0.4038
track_20960,18.3316,17.6653,0.3678,0.2963
track_20980,19.2225,17.6045,0.6386,0.5483
track_21021,18.5183,17.4117,0.4549,0.3799
track_21024,15.4733,14.8778,0.3642,0.2956
track_21033,15.5781,14.3610,0.4086,0.3304
track_21045,15.8334,14.8280,0.4578,0.3561
track_21049,23.2526,22.2371,0.7733,0.7662
track_21053,16.6546,15.2214,0.4939,0.4104
track_21059,20.4312,19.1547,0.5609,0.5011
track_21064,16.1626,15.1081,0.4883,0.3888
track_21074,21.3394,19.4289,0.5806,0.5035
track_21129,18.6631,17.2840,0.4850,0.3971
track_21136,16.8517,15.6464,0.4712,0.3799
track_21175,16.0228,15.1692,0.4102,0.3391
track_21183,18.3595,16.9444,0.4931,0.4018
track_21208,16.5437,15.7556,0.4188,0.3342
track_21241,16.6284,15.7882,0.4166,0.3584
track_21257,15.6683,14.5464,0.4995,0.4119
track_21259,15.0983,14.3005,0.3893,0.3125
track_21266,16.7855,15.9152,0.4453,0.3752
track_21282,17.2356,16.0138,0.3846,0.3211
track_21329,14.1037,13.4311,0.3453,0.2621
track_21362,18.0949,16.4148,0.6725,0.5805
track_21378,16.4941,14.9939,0.4543,0.3547
track_21380,13.6222,12.9903,0.2660,0.1873
track_21398,14.8895,14.1172,0.3397,0.2767
track_21455,15.5418,14.3209,0.5379,0.4542
track_21466,15.6435,14.4766,0.4301,0.3203
track_21481,13.2282,12.8552,0.3088,0.2477
track_21484,16.0799,15.5085,0.3581,0.2904
track_21497,17.1178,16.0135,0.4147,0.3556
track_21536,19.4829,18.3698,0.4395,0.3698
track_21583,16.2809,15.0604,0.4915,0.3958
track_21608,19.0902,17.4907,0.3669,0.3181
track_21625,18.4621,16.5850,0.5813,0.4919
track_21649,14.4373,13.6628,0.3057,0.2273
track_21674,19.1559,17.7929,0.5091,0.4484
track_21694,14.4138,13.7609,0.3611,0.2888
track_21708,18.7492,17.7316,0.4040,0.3364
track_21723,18.2052,17.0894,0.3680,0.3106
track_21725,14.4086,13.9316,0.2088,0.1625
track_21728,14.6731,13.8861,0.3147,0.2433
track_21730,17.6324,16.5079,0.5299,0.4608
track_21793,18.2181,16.4378,0.5636,0.4386
track_21846,13.1356,12.7018,0.3303,0.2617
track_21864,16.9534,15.5997,0.4600,0.3411
track_21870,15.8409,14.9462,0.3923,0.3381
track_21874,17.1923,16.3452,0.3566,0.2997
track_21888,15.4244,14.4214,0.3876,0.3070
track_21891,14.2670,13.5873,0.2684,0.2337
track_21911,16.5457,14.9554,0.5378,0.4357
track_21928,15.3683,14.3464,0.4075,0.2946
track_21931,14.9210,14.1737,0.3924,0.3276
track_21999,16.0783,15.2179,0.4248,0.3461
track_22002,17.2512,16.1262,0.4353,0.3655
track_22006,15.6728,14.7426,0.4091,0.3354
track_22009,14.5919,14.0682,0.2203,0.1770
track_22018,18.6277,17.2328,0.4903,0.4079
track_22033,15.8878,14.4250,0.5633,0.4641
track_22047,19.8432,18.5921,0.4738,0.3822
track_22062,14.3842,13.6489,0.3576,0.2479
track_22064,15.8654,15.2388,0.3206,0.2572
track_22085,17.3288,16.3358,0.3993,0.3570
track_22131,15.0148,14.2876,0.3319,0.2823
track_22133,18.1525,17.1286,0.3885,0.3172
track_22136,15.2674,14.5354,0.3768,0.3288
track_22140,17.5758,15.9874,0.5372,0.4493
track_22155,14.9442,14.1325,0.3586,0.2779
track_22161,17.7371,16.4708,0.4567,0.3898
track_22188,14.2646,13.6647,0.3104,0.2359
track_22198,14.9121,13.9367,0.4041,0.3170
track_22214,20.2813,18.7598,0.4409,0.3842
track_22223,15.1418,14.5382,0.2112,0.1708
track_22256,13.7803,12.9690,0.3096,0.2270
track_22259,16.7307,15.5679,0.5566,0.4749
track_22269,15.9392,14.7358,0.4603,0.3469
track_22277,20.1947,19.0936,0.4637,0.3935
track_22314,17.1179,16.3222,0.3390,0.2706
track_22330,17.9589,16.6170,0.4602,0.3741
track_22336,14.2469,13.2668,0.4077,0.3283
track_22338,17.7658,16.8022,0.3758,0.3067
track_22339,15.7726,14.8497,0.3517,0.2945
track_22351,16.8333,15.3148,0.5664,0.4594
track_22409,14.8245,14.0667,0.3351,0.2710
track_22441,15.9475,14.9658,0.4618,0.3972
track_22442,14.8671,14.1289,0.3953,0.3084
track_22444,17.8172,16.7450,0.4224,0.3359
track_22446,15.5546,14.7598,0.4164,0.3429
track_22457,15.8400,14.9049,0.4881,0.4060
track_22481,18.0544,16.6262,0.2871,0.2262
track_22486,16.3052,15.4308,0.4870,0.4027
track_22515,13.3171,12.9103,0.2133,0.1558
track_22528,16.3238,15.5608,0.3392,0.3035
track_22533,13.8473,13.2819,0.3296,0.2796
track_22560,14.9643,14.1670,0.2312,0.1794
track_22562,14.8111,13.9564,0.4565,0.3524
track_22567,24.5342,21.0935,0.6507,0.5588
track_22570,14.1044,13.3141,0.3450,0.2597
track_22577,18.7607,16.5500,0.6552,0.5474
track_22579,14.2947,13.4659,0.3542,0.2747
track_22583,17.7824,16.9386,0.2663,0.2162
track_22591,14.8382,13.7645,0.3948,0.2638
track_22610,14.5860,13.5962,0.3280,0.2713
track_22628,14.5169,13.6723,0.3528,0.2785
track_22640,16.0652,15.0544,0.4650,0.3626
track_22645,15.0753,14.2284,0.2559,0.1755
track_22656,16.7292,15.9535,0.3785,0.3019
track_22661,13.0468,12.6880,0.2121,0.1545
track_22681,13.9231,13.2216,0.2978,0.2361
track_22698,14.6367,13.9910,0.3389,0.2760
track_22716,15.8390,14.8524,0.2726,0.2047
track_22754,15.8688,14.9290,0.4470,0.3620
track_22769,17.5125,15.8447,0.5664,0.4751
track_22786,14.8921,14.3272,0.3398,0.2986
track_22820,18.6559,16.8263,0.5671,0.4644
track_22822,13.8036,13.0122,0.3804,0.2954
track_22835,12.5340,11.9990,0.1794,0.1193
track_22844,18.5514,16.9185,0.4726,0.3719
track_22845,15.9897,14.8096,0.3256,0.2722
track_22864,13.4478,12.9045,0.3046,0.2441
track_22870,17.3203,16.2732,0.4768,0.3853
track_22885,13.3469,12.7343,0.2426,0.1899
track_22894,17.0828,16.3280,0.3857,0.3167
track_22926,14.6966,14.2581,0.2826,0.2226
track_22938,14.3438,13.5602,0.3694,0.2966
track_22953,15.1480,14.4459,0.2852,0.2229
track_22958,13.2652,12.6700,0.2792,0.2202
